Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-05,215.84816832382842,217.09999013574387,214.29830813729734,216.4840087890625,23823000,0,0
2021-01-06,210.7912455870297,215.08318003900655,210.5627444497056,210.8707275390625,35930700,0,0
2021-01-07,212.64907811484977,217.9146396842502,212.3212359237469,216.8714599609375,27694500,0,0
2021-01-08,217.2589465437568,219.14660888747295,215.6196747870337,218.19284057617188,22956200,0,0
2021-01-11,217.05030276976473,217.48744591341392,215.32160447250612,216.07667541503906,23031300,0,0
2021-01-12,215.09311485900687,215.68922193401653,211.93378677650057,213.53330993652344,23249300,0,0
2021-01-13,212.6292422193198,215.35142722816505,212.53981554325736,214.9341583251953,20087100,0,0
2021-01-14,214.5069615729215,216.04689228211484,211.35756291663537,211.6357421875,29480800,0,0
2021-01-15,212.13248421668385,213.11604118355353,210.65216124723474,211.26812744140625,31746500,0,0
2021-01-19,212.36098632800108,215.56999254337148,211.24826928580933,215.03350830078125,30480900,0,0
2021-01-20,216.2853060269136,224.3227307316704,215.87796671237714,222.8821563720703,37777300,0,0
2021-01-21,223.23983744430868,224.82944628858917,220.97465469497067,223.50808715820312,30709400,0,0
2021-01-22,225.60436647713922,228.57494199946245,224.33268552167743,224.48170471191406,30172700,0,0
2021-01-25,227.63109756701655,228.28681230691677,222.7629454524098,228.03843688964844,33152100,0,0
2021-01-26,230.353304453711,232.65822051155325,228.58487264289738,230.82025146484375,49169600,0,0
2021-01-27,236.45340028594015,238.8775468152532,228.6444764600276,231.38653564453125,69870600,0,0
2021-01-28,234.07891710204808,241.06323227213272,233.56229201537616,237.37733459472656,49111200,0,0
2021-01-29,234.45646245897623,236.4732696182259,229.84661535788663,230.45265197753906,42503100,0,0
2021-02-01,233.53251261390105,240.92416785954552,230.91959823098088,238.09268188476562,33314200,0,0
2021-02-02,239.73195926657638,240.73539050946917,237.1389192661901,237.95358276367188,25916300,0,0
2021-02-03,238.0132101334961,243.49732861610576,237.70521187164377,241.42091369628906,27158100,0,0
2021-02-04,241.08311733044764,241.65935011449858,238.8079900313816,240.4373321533203,25296100,0,0
2021-02-05,240.65591773047294,241.69909756987153,238.8576820402769,240.62611389160156,18054800,0,0
